t,r,u,y,d
0,0,-0.072276,-8.2771e-05,0
0.0077531,0,-0.050175,-0.0011478,0
0.015506,0,-0.07719,5.2885e-05,0
0.023259,0,-0.082162,0.00027837,0
0.031012,0,-0.058127,-0.00074364,0
0.038765,0,-0.072921,0,0
0.046519,0,-0.07106,0,0
0.054272,0,-0.07628,-4.1135e-05,0
0.062025,0,-0.070504,-0.0003712,0
0.069778,0,-0.076382,-3.2955e-05,0
0.077531,0,-0.062051,-0.00079589,0
0.085284,0,-0.066897,-0.00040823,0
0.093037,0,-0.063104,-0.00074114,0
0.10079,0,-0.07653,-1.709e-05,0
0.10854,0,-0.066118,-0.00039527,0
0.1163,0,-0.07581,-7.6124e-06,0
0.12405,0,-0.073149,0,0
0.1318,0,-0.1015,0.0014708,0
0.13956,0,-0.074946,0,0
0.14731,0,-0.07107,0,0
0.15506,0,-0.087178,0.00076132,0
0.16282,0,-0.081554,0.00043168,0
0.17057,0,-0.07833,4.4019e-05,0
0.17832,0,-0.079964,0.00039273,0
0.18607,0,-0.093345,0.0011625,0
0.19383,0,-0.066328,-0.00027582,0
0.20158,0,-0.076482,-4.3382e-05,0
0.20933,0,-0.080582,0.00034426,0
0.21709,0,-0.088587,0.00077933,0
0.22484,0,-0.076065,6.0858e-05,0
0.23259,0,-0.080358,0.00035721,0
0.24035,0,-0.075827,5.5133e-05,0
0.2481,0,-0.079988,0.00033255,0
0.25585,0,-0.057786,-0.00088077,0
0.26361,0,-0.067832,-0.00049636,0
0.27136,0,-0.081229,0.00029101,0
0.27911,0,-0.070506,-0.00026633,0
0.28686,0,-0.067198,-0.0004,0
0.29462,0,-0.067771,-0.0004,0
0.30237,0,-0.073076,-6.158e-05,0
0.31012,0,-0.077338,0,0
0.31788,0,-0.079607,0.00032143,0
0.32563,0,-0.063772,-0.00052729,0
0.33338,0,-0.071611,-0.00020652,0
0.34114,0,-0.058124,-0.00097505,0
0.34889,0,-0.067687,-0.00023385,0
0.35664,0,-0.069452,-0.00030969,0
0.3644,0,-0.07569,-0.00010265,0
0.37215,0,-0.070162,-0.00028501,0
0.3799,0,-0.090858,0.00096333,0
0.38765,0,-0.08415,0.00041003,0
0.39541,0,-0.068316,-0.00029798,0
0.40316,0,-0.079996,0.00045693,0
0.41091,0,-0.08395,0.00052671,0
0.41867,0,-0.081043,0.0004,0
0.42642,0,-0.069346,-0.00016822,0
0.43417,0,-0.087899,0.00074496,0
0.44193,0,-0.077828,0.00010443,0
0.44968,0,-0.074231,-0.00013843,0
0.45743,0,-0.075754,0,0
0.46519,0,-0.086505,0.00054142,0
0.47294,0,-0.07896,0.00025094,0
0.48069,0,-0.080866,0.00026219,0
0.48845,0,-0.07688,0.00015017,0
0.4962,0,-0.080312,0.00023749,0
0.50395,0,-0.069113,-0.00027548,0
0.5117,0,-0.069376,-7.0405e-05,0
0.51946,0,-0.082383,0.0004,0
0.52721,0,-0.07488,-7.6245e-05,0
0.53496,0,-0.069129,-0.0004,0
0.54272,0,-0.068399,-0.0004,0
0.55047,0,-0.071596,-0.0001702,0
0.55822,0,-0.067838,-0.00047744,0
0.56598,0,-0.077714,0.00010549,0
0.57373,0,-0.076157,0.00015787,0
0.58148,0,-0.071555,-0.0001983,0
0.58924,0,-0.074213,0,0
0.59699,0,-0.074973,0,0
0.60474,0,-0.07639,0,0
0.61249,0,-0.076517,0,0
0.62025,0,-0.075151,0,0
0.628,0,-0.085765,0.00071046,0
0.63575,0,-0.086946,0.00065566,0
0.64351,0,-0.069507,-0.0004,0
0.65126,0,-0.076671,-1.8796e-05,0
0.65901,0,-0.083109,0.0004,0
0.66677,0,-0.083659,0.0005659,0
0.67452,0,-0.075909,9.8026e-05,0
0.68227,0,-0.073995,-0.00022635,0
0.69003,0,-0.07661,4.2271e-05,0
0.69778,0,-0.069579,-0.00023349,0
0.70553,0,-0.077542,0.00015418,0
0.71329,0,-0.080811,0.0004,0
0.72104,0,-0.079756,0.0002205,0
0.72879,0,-0.080343,0.00016715,0
0.73654,0,-0.076486,9.0402e-05,0
0.7443,0,-0.074,0,0
0.75205,0,-0.074,0,0
0.7598,0,-0.070369,-0.00036314,0
0.76756,0,-0.085604,0.0005554,0
0.77531,-0.00014307,-0.088489,0.0003708,0
0.78306,-0.00066147,-0.081537,-0.00026927,0
0.79082,-0.0014368,-0.095888,-0.00023675,0
0.79857,-0.0022424,-0.10679,-0.00067882,0
0.80632,-0.0032311,-0.13454,-0.0004,0
0.81408,-0.0045254,-0.15719,-0.0004,0
0.82183,-0.006076,-0.17927,-0.00075697,0
0.82958,-0.0076266,-0.19473,-0.0017067,0
0.83733,-0.009339,-0.21843,-0.0024312,0
0.84509,-0.011592,-0.21939,-0.0046556,-0.0083789
0.85284,-0.013918,-0.18826,-0.0084748,-0.0254
0.86059,-0.016244,-0.13583,-0.013473,-0.0254
0.86835,-0.018664,-0.12161,-0.016875,-0.0254
0.8761,-0.021461,-0.1587,-0.017574,-0.0254
0.88385,-0.024642,-0.29991,-0.013597,-0.0254
0.89161,-0.028063,-0.35772,-0.014608,-0.032251
0.89936,-0.03126,-0.20035,-0.025809,-0.0508
0.90711,-0.034749,-0.28801,-0.024701,-0.0508
0.91487,-0.038309,-0.36414,-0.024643,-0.055301
0.92262,-0.042269,-0.2682,-0.033401,-0.0762
0.93037,-0.046658,-0.33006,-0.034881,-0.082307
0.93813,-0.050922,-0.34656,-0.038244,-0.10692
0.94588,-0.055186,-0.29594,-0.045129,-0.127
0.95363,-0.05951,-0.37605,-0.045805,-0.13075
0.96138,-0.064241,-0.3376,-0.052188,-0.1524
0.96914,-0.069413,-0.36046,-0.056422,-0.15776
0.97689,-0.074137,-0.39709,-0.059442,-0.1778
0.98464,-0.079177,-0.35514,-0.066657,-0.1816
0.9924,-0.084264,-0.38521,-0.070447,-0.2032
1.0001,-0.089656,-0.46767,-0.071712,-0.20543
1.0079,-0.094764,-0.38464,-0.081382,-0.23025
1.0157,-0.10085,-0.4456,-0.084423,-0.25783
1.0234,-0.10632,-0.48812,-0.087808,-0.2794
1.0312,-0.1121,-0.44741,-0.095628,-0.28167
1.0389,-0.11755,-0.4734,-0.10028,-0.30628
1.0467,-0.12339,-0.49587,-0.105,-0.331
1.0544,-0.12998,-0.49382,-0.11188,-0.35869
1.0622,-0.13614,-0.5109,-0.11716,-0.38331
1.0699,-0.14198,-0.54832,-0.12128,-0.40792
1.0777,-0.14819,-0.52316,-0.12893,-0.4318
1.0854,-0.15439,-0.56193,-0.13319,-0.4318
1.0932,-0.16099,-0.5566,-0.14044,-0.45954
1.1009,-0.16719,-0.59077,-0.14527,-0.48416
1.1087,-0.17341,-0.57273,-0.15256,-0.50956
1.1164,-0.18,-0.59599,-0.1576,-0.55879
1.1242,-0.1862,-0.59019,-0.16458,-0.58341
1.132,-0.1924,-0.63127,-0.16893,-0.60803
1.1397,-0.19941,-0.60451,-0.17739,-0.63582
1.1475,-0.20561,-0.62002,-0.18321,-0.66043
1.1552,-0.21181,-0.63456,-0.18902,-0.68505
1.163,-0.21839,-0.64064,-0.19484,-0.70967
1.1707,-0.22462,-0.64009,-0.20138,-0.73428
1.1785,-0.23162,-0.63805,-0.20882,-0.76214
1.1862,-0.23782,-0.65452,-0.21424,-0.81138
1.194,-0.24365,-0.64653,-0.2208,-0.8367
1.2017,-0.24983,-0.66056,-0.22666,-0.86132
1.2095,-0.25603,-0.64793,-0.23353,-0.88594
1.2172,-0.26262,-0.67024,-0.23905,-0.91363
1.225,-0.26846,-0.64461,-0.24636,-0.93834
1.2327,-0.27427,-0.65941,-0.25191,-0.96296
